诗词,作者,类型
南乡子·梅花词和杨元素,苏轼,咏物
八月十二日夜诚斋望月,杨万里,咏物
高阳台·西湖春感,张炎,咏物
蝉赋,曹植,咏物
蓦山溪·梅,曹组,咏物
咏蟹 / 咏螃蟹呈浙西,皮日休,咏物
念奴娇·闹红一舸,姜夔,咏物
望海楼,米芾,咏物
咏初日,赵匡胤,咏物
野菊,杨万里,咏物
芦花,雍裕之,咏物
花犯·小石梅花,周邦彦,咏物
念奴娇·插天翠柳,朱敦儒,咏物
春居杂兴·两株桃杏映篱,王禹偁,咏物
踏莎行·雪中看梅花,王旭,咏物
残叶,李觏,咏物
晚桃花,白居易,咏物
牡丹,罗隐,咏物
忆秦娥·梅谢了,刘克庄,咏物
玉楼春·红酥肯放琼苞碎,李清照,咏物
归燕诗,张九龄,咏物
闻鹊喜·吴山观涛,周密,咏物
双双燕·小桃谢后,吴文英,咏物
咏萤,虞世南,咏物
绵州巴歌,佚名,咏物
乌江,汪遵,咏物
卜算子·新柳,纳兰性德,咏物
浣溪沙·杨花,陈子龙,咏物
点绛唇·梅,朱翌,咏物
蝶恋花·笑艳秋莲生绿浦,晏几道,咏物
劲草行,王冕,咏物
望江南·咏弦月,纳兰性德,咏物
双井茶送子瞻,黄庭坚,咏物
瓠叶,佚名,咏物
赏春 / 芳草 / 春,罗邺,咏物
眉妩·新月,王沂孙,咏物
题李次云窗竹,白居易,咏物
咏秋柳,纪映淮,咏物
一丛花·咏并蒂莲,纳兰性德,咏物
柳梢青·茅舍疏篱,杨无咎,咏物
绮罗香·红叶,张炎,咏物
咏白海棠,曹雪芹,咏物
白燕,袁凯,咏物
东风第一枝·咏春雪,史达祖,咏物
摸鱼儿·观潮上叶丞相,辛弃疾,咏物
咏秋兰,静诺,咏物
减字木兰花·花,苏轼,咏物
水仙子·寻梅,乔吉,咏物
咏槿,李白,咏物
采苓,佚名,咏物
咏桂,李白,咏物
山鬼谣·问何年,辛弃疾,咏物
萤火,杜甫,咏物
咏萤诗,萧纲,咏物
群鹤咏,萧道成,咏物
燕归梁·风莲,蒋捷,咏物
观梅有感,刘因,咏物
望岳三首·其二,杜甫,咏物
早梅,谢燮,咏物
蝶恋花·两岸月桥花半吐,真德秀,咏物
野菊,王建,咏物
玉烛新·白海棠,顾太清,咏物
裴给事宅白牡丹,卢纶,咏物
疏影·咏荷叶,张炎,咏物
醉桃源·柳,翁元龙,咏物
绿头鸭·咏月,晁端礼,咏物
贺新郎·赋琵琶,辛弃疾,咏物
病马,杜甫,咏物
香菱咏月·其二,曹雪芹,咏物
鹦鹉赋,祢衡,咏物
点绛唇·咏风兰,纳兰性德,咏物
池上,张光启,咏物
咏燕 / 归燕诗,张九龄,咏物
大司成颜几圣率同舍招游,杨万里,咏物
十一月中旬至扶风界见梅,李商隐,咏物
拂舞词 / 公无渡河,温庭筠,咏物
雨不绝,杜甫,咏物
晓过鸳湖,查慎行,咏物
天香·咏龙涎香,王沂孙,咏物
咏愁,石象之,咏物
和袭美木兰后池三咏·白,陆龟蒙,咏物
桃花,周朴,咏物
花犯·谢黄复庵除夜寄古,吴文英,咏物
浪淘沙·杨花,李雯,咏物
樱桃花,元稹,咏物
慈姥竹,李白,咏物
咏草,俞紫芝,咏物
贺新郎·和前韵,辛弃疾,咏物
菩萨蛮·春风试手先梅蕊,赵令畤,咏物
金人捧露盘·水仙花,高观国,咏物
虞美人·影松峦峰,侯文曜,咏物
垂柳,唐彦谦,咏物
霜天晓角·梅,萧泰来,咏物
扬州慢·琼花,郑觉齐,咏物
清平乐·检校山园书所见,辛弃疾,咏物
绣鸾凤花犯·赋水仙,周密,咏物
水龙吟·燕忙莺懒芳残,章楶,咏物
满庭芳·茶,黄庭坚,咏物
临发崇让宅紫薇,李商隐,咏物
三绝句,杜甫,咏物
洞仙歌·荷花,刘光祖,咏物
忆秦娥·杨花,宋徵舆,咏物
代迎春花招刘郎中,白居易,咏物
夜游宫·竹窗听雨,吴文英,咏物
望海楼晚景五绝,苏轼,咏物
菩萨蛮·端午日咏盆中菊,顾太清,咏物
牡丹,薛涛,咏物
寓居定惠院之东杂花满山,苏轼,咏物
醉中天·咏大蝴蝶,王和卿,咏物
淡黄柳·咏柳,纳兰性德,咏物
高阳台·落梅,吴文英,咏物
少年游·玉壶冰莹兽炉灰,欧阳修,咏物
沁园春·咏菜花,陈维崧,咏物
香菱咏月·其一,曹雪芹,咏物
苔,袁枚,咏物
疏影·梅影,张炎,咏物
浣溪沙·琴川慧日寺蜡梅,吴文英,咏物
梅花落,杨炯,咏物
蔷薇花,杜牧,咏物
千年调·卮酒向人时,辛弃疾,咏物
卜算子·旅雁向南飞,朱敦儒,咏物
临江仙·孤雁,纳兰性德,咏物
赏牡丹,王建,咏物
咏春笋,杜甫,咏物
南乡子·岸远沙平,欧阳炯,咏物
鼓钟,佚名,咏物
昌谷北园新笋四首,李贺,咏物
思黯南墅赏牡丹,刘禹锡,咏物
浣溪沙·从石楼石壁往来,郑文焯,咏物
水龙吟·载学士院有之,辛弃疾,咏物
书幽芳亭记,黄庭坚,咏物
临江仙·洞庭波浪颭晴天,牛希济,咏物
杨柳,汪遵,咏物
秋兰赋,袁枚,咏物
咏笼莺,纳兰性德,咏物
小桃红·咏桃,周文质,咏物
水龙吟·露寒烟冷蒹葭老,苏轼,咏物
鱼藻,佚名,咏物
上林春令·十一月三十日,毛滂,咏物
花鸭,杜甫,咏物
红蕉,柳宗元,咏物
咏邻女东窗海石榴,李白,咏物
下泉,佚名,咏物
咏长城,汪遵,咏物
解语花·云容冱雪,施岳,咏物
牡丹芳,白居易,咏物
西江月·真觉赏瑞香二首,苏轼,咏物
杨生青花紫石砚歌,李贺,咏物
赠王桂阳,吴均,咏物
白鹭儿,刘禹锡,咏物
咏落梅,谢朓,咏物
咏虞美人花,吴信辰,咏物
醉落魄·正月二十日张园,管鉴,咏物
潇湘夜雨·灯词,赵长卿,咏物
念奴娇·宜雨亭咏千叶海,张鎡,咏物
菩萨蛮·芭蕉,张鎡,咏物
赵昌寒菊,苏轼,咏物
乌夜啼·石榴,刘铉,咏物
鸣雁行,李白,咏物
杨柳八首·其二,温庭筠,咏物
柳枝·解冻风来末上青,牛峤,咏物
和郭主簿·其二,陶渊明,咏物
南浦·春水,张炎,咏物
咏长信宫中草诗,庾肩吾,咏物
宴清都·连理海棠,吴文英,咏物
咏儋耳二首,方向,咏物
落梅,陆游,咏物
一萼红·古城阴,姜夔,咏物
风流子·出关见桃花,张惠言,咏物
醉桃源·芙蓉,吴文英,咏物
深院,韩偓,咏物
题张十一旅舍三咏·葡萄,韩愈,咏物
小重山令·赋潭州红梅,姜夔,咏物
题平阳郡汾桥边柳树,岑参,咏物
题竹石牧牛,黄庭坚,咏物
杨柳枝五首·其二,牛峤,咏物
野人送朱樱,杜甫,咏物
椒聊,佚名,咏物
十一月二十六日松风亭下,苏轼,咏物
满庭芳·促织儿,张鎡,咏物
回中牡丹为雨所败二首,李商隐,咏物
寒松赋,李绅,咏物
鲥鱼,何景明,咏物
华下对菊,司空图,咏物
咏萤火诗,萧绎,咏物
子规,余靖,咏物
水龙吟·梨花,周邦彦,咏物
清如玉壶冰 / 赋得清,王维,咏物
牡丹,皮日休,咏物
霓裳中序第一·茉莉咏,尹焕,咏物
舞鹤赋,鲍照,咏物
酒箴,扬雄,咏物
金缕曲·咏白海棠,顾太清,咏物
柳梢青·灯花,张林,咏物
禹庙,杜甫,咏物
浣溪沙·绿玉枝头一粟黄,毛珝,咏物
咏杜鹃花,释择璘,咏物
朱鹭,佚名,咏物
南浦·春水,王沂孙,咏物
丁香结·夷则商秋日海棠,吴文英,咏物
声声慢·咏桂花,吴文英,咏物
望隔墙花诗,刘孝威,咏物
咏铜雀台,汪遵,咏物
疏影·芭蕉,纳兰性德,咏物
念奴娇·春雪咏兰,陈子龙,咏物
与东方左史虬修竹篇,陈子昂,咏物
献仙音·吊雪香亭梅,周密,咏物
惜黄花慢·菊,吴文英,咏物
京兆府栽莲,白居易,咏物
洞仙歌·中秋,向子諲,咏物
柳梢青·过何郎石见早梅,赵长卿,咏物
水龙吟·落叶,王沂孙,咏物
九字梅花咏,明本,咏物
诉衷情·海棠珠缀一重重,晏殊,咏物
立冬前一日霜对菊有感,钱时,咏物
洞仙歌·咏黄葵,纳兰性德,咏物
留春令·咏梅花,史达祖,咏物
春草,刘敞,咏物
红林檎近·高柳春才软,周邦彦,咏物
玉楼春·燕雕梁画栋原无,宋徵舆,咏物
咏路,邹浩,咏物
和马郎中移白菊见示,李商隐,咏物
清江引·托咏,宋方壶,咏物
庭竹,刘禹锡,咏物
花犯·苔梅,王沂孙,咏物
牡丹,韩琮,咏物
侧犯·咏芍药,姜夔,咏物
暗香疏影·夹钟宫赋墨梅,吴文英,咏物
浣溪沙·题李中斋舟中梅,吴文英,咏物
黄莺儿·园林晴昼春谁主,柳永,咏物
赠从弟·其三,刘桢,咏物
巴江柳,李商隐,咏物
齐天乐·萤,王沂孙,咏物
咏山樽二首,李白,咏物
初出金门寻王侍御不遇咏,李白,咏物
一片,李商隐,咏物
咏被中绣鞋,夏侯审,咏物
养竹记,白居易,咏物
红林擒近·寿词·满路花,陈允平,咏物
象祠记,王守仁,咏物
咏兴国寺佛殿前幡,李世民,咏物
咏素蝶诗,刘孝绰,咏物
浣溪沙·几共查梨到雪霜,苏轼,咏物
咏木槿树题武进文明府厅,刘庭琦,咏物
咏零陵,欧阳修,咏物
秘色越器,陆龟蒙,咏物
梅花,王冕,咏物
橘柚垂华实,佚名,咏物
南中荣橘柚,柳宗元,咏物
白菊三首,司空图,咏物
满江红·咏竹,陆容,咏物
东湖新竹,陆游,咏物
绝句四首·其四,杜甫,咏物
戏题牡丹,韩愈,咏物
巽公院五咏·苦竹桥,柳宗元,咏物
临江仙·寒柳,陈维崧,咏物
戏题阶前芍药,柳宗元,咏物
南乡子·咏瑞香,顾太清,咏物
灵台,佚名,咏物
敷浅原见桃花,刘次庄,咏物
一萼红·盆梅,朱晞颜,咏物
临江仙·和叶仲洽赋羊桃,辛弃疾,咏物
吴山青·金璞明,赵溍,咏物
惜秋华·木芙蓉,吴文英,咏物
六丑·杨花,彭元逊,咏物
同谢谘议咏铜雀台,谢朓,咏物
咏萍,刘绘,咏物
中秋见月和子由,苏轼,咏物
咏画障,上官仪,咏物
琐窗寒·玉兰,吴文英,咏物
同儿辈赋未开海棠,元好问,咏物
白菊杂书四首,司空图,咏物
咏蚊,范仲淹,咏物
书韩干牧马图,苏轼,咏物
蜀桐,李商隐,咏物
杜鹃花得红字,真山民,咏物
题李俨黄菊赋,耶律洪基,咏物
瑶花慢·朱钿宝玦,周密,咏物
奉试明堂火珠,崔曙,咏物
新植海石榴,柳宗元,咏物
咏菊,丘浚,咏物
解语花·梅花,吴文英,咏物
咏孤石,惠标,咏物
梅,王淇,咏物
双双燕·满城社雨,张惠言,咏物
杏花,王安石,咏物
和答钱穆父咏猩猩毛笔,黄庭坚,咏物
咏荔枝,丘浚,咏物
咏院中丛竹,吕太一,咏物
石竹咏,王绩,咏物
钱氏池上芙蓉,文徵明,咏物
一枝花·咏喜雨,张养浩,咏物
解连环·柳,高观国,咏物
柳絮,薛涛,咏物
长亭怨慢·雁,朱彝尊,咏物
花心动·柳,吴文英,咏物
天香·蜡梅,吴文英,咏物
满庭芳·茉莉花,柳永,咏物
探春,黄庶,咏物
对雪,王禹偁,咏物
咏孤石,高丽定法师,咏物
渡海至琼管天宁寺咏阇提,李纲,咏物
孤桐,王安石,咏物
杏花天·咏汤,吴文英,咏物
满庭芳·咏茶,米芾,咏物
满江红·雨后荒园,段克己,咏物
满江红·仙姥来时,姜夔,咏物
生查子·软金杯,金章宗,咏物
水龙吟·浮翠山房拟赋白,唐玨,咏物
【南吕】干荷叶八首,刘秉忠,咏物
新楼诗二十首·北楼樱桃,李绅,咏物
使院中新栽柏树子呈李十,岑参,咏物
卜算子·古涧一枝梅,朱敦儒,咏物
五粒小松歌,李贺,咏物
夹竹桃花·咏题,曹勋,咏物
新竹,元稹,咏物
蓬莱三殿侍宴奉敕咏终南,杜审言,咏物
鹭鸶,郑谷,咏物
浪淘沙·赋虞美人草,辛弃疾,咏物
蝶恋花·几股湘江龙骨瘦,金章宗,咏物
莲蓬人,鲁迅,咏物
过秦楼·黄钟商芙蓉,吴文英,咏物
鹦鹉,方孝孺,咏物
一剪梅·一剪梅花万样娇,周邦彦,咏物
巽上人以竹间自采新茶见,柳宗元,咏物
喜迁莺·暑风凉月,辛弃疾,咏物
咏傀儡,杨亿,咏物
水龙吟·白莲,张炎,咏物
满江红·刘朔斋赋菊和韵,吴文英,咏物
古树,杜濬,咏物
除夜自石湖归苕溪·其一,姜夔,咏物
望山,贾岛,咏物
咏竹五首,憨山德清,咏物
北禽,李商隐,咏物
最高楼·咏梅,陈亮,咏物
早蝉,白居易,咏物
莺啼序·荷和赵修全韵,吴文英,咏物
松,成彦雄,咏物
咏蕙诗,繁钦,咏物
梅花绝句,陆游,咏物
咏归堂隐鳞洞,王汝舟,咏物
杨花,吴融,咏物
蜡梅,尤袤,咏物
四月十一日初食荔支,苏轼,咏物
梅花,宸濠翠妃,咏物
归舟江行望燕子矶作,厉鹗,咏物
咏舞诗,王暕,咏物
凄凉犯·重台水仙,吴文英,咏物
牡丹赋,舒元舆,咏物
栀子花诗,沈周,咏物
五月水边柳,崔护,咏物
蝶恋花·一朵江梅春带雪,赵鼎,咏物
感遇诗三十八首·其二十,陈子昂,咏物
诉衷情·小梅风韵最妖娆,晏几道,咏物
柳花词三首,刘禹锡,咏物
咏架上鹰,崔铉,咏物
咏瀑布,冯云山,咏物
齐天乐·蝉,仇远,咏物
感遇诗三十八首·其一,陈子昂,咏物
咏石榴花,王安石,咏物
幽兰,崔涂,咏物
咏新荷应诏,沈约,咏物
杭州开元寺牡丹,张祜,咏物
月季花,张新,咏物
牡丹吟,邵雍,咏物
檄英王鸡,王勃,咏物
薛宝钗·雪竹,环山樵,咏物
奉同张敬夫城南二十咏,朱熹,咏物
姑孰十咏,李白,咏物
祝英台近·荷花,高观国,咏物
桃花,吴融,咏物
咏鸳鸯,李远,咏物
画竹歌,白居易,咏物
咏舞,虞世南,咏物
读山海经十三首·其五,陶渊明,咏物
咏竹,刘孝先,咏物
雪,李峤,咏物
木假山记,苏洵,咏物
杨柳八首·其三,温庭筠,咏物
读山海经十三首·其四,陶渊明,咏物
三闾庙,汪遵,咏物
咏雁,李远,咏物
箕山,汪遵,咏物
咏石牛,李白,咏物
观第五泄记,袁宏道,咏物
落叶,王建,咏物
梅花,张道洽,咏物
燕来,韦庄,咏物
极相思·题陈藏一水月梅,吴文英,咏物
夜合花,纳兰性德,咏物
横波亭,元好问,咏物
州宅堂前荷花,范成大,咏物
江梅引·忆江梅,洪皓,咏物
水龙吟·咏月,晁端礼,咏物
蝶恋花·落落盘根真得地,王国维,咏物
咏省壁画鹤,宋之问,咏物
慧庆寺玉兰记,戴名世,咏物
咏主人壁上画鹤寄乔主簿,陈子昂,咏物
咏檐前竹,沈约,咏物
咏贺兰山,胡秉正,咏物
巽公院五咏,柳宗元,咏物
题友人云母障子,王维,咏物
任光禄竹溪记,唐顺之,咏物
咏牡丹,俞大猷,咏物
芙蕖,李渔,咏物
咏瓢,张说,咏物
穷鸟赋,赵壹,咏物
水龙吟·赋张斗墅家古松,吴文英,咏物
桂枝香·观木樨有感寄吕,陈亮,咏物
咏湖中雁,沈约,咏物
古香慢·赋沧浪看桂,吴文英,咏物
江城子·嫩黄初染绿初描,谭宣子,咏物
浣溪沙·桂,吴文英,咏物
鹤,杜牧,咏物
花马池咏,崔允,咏物
咏甘蔗,佚名,咏物
鹊,韩偓,咏物
阳春曲·赠海棠,徐再思,咏物
咏鹦鹉,僧定渚,咏物
庆清朝·榴花,王沂孙,咏物
丁公默送蝤蛑,苏轼,咏物
咏黄莺儿,郑愔,咏物
风流子·黄钟商芍药,吴文英,咏物
答李滁州题庭前石竹花见,独孤及,咏物
菩萨蛮·题梅扇,周纯,咏物
柳絮,刘筠,咏物
梅花,汪中,咏物
咏乌,李义府,咏物
谢判官幽谷种花,欧阳修,咏物
芙蓉亭,柳宗元,咏物
同蔡孚起居咏鹦鹉,胡皓,咏物
鲁从事清晖阁,穆修,咏物
烛影摇红·赋德清县圃古,吴文英,咏物
虞美人影·咏香橙,吴文英,咏物
和元八侍御升平新居四绝,白居易,咏物
咏壁鱼,李远,咏物
杨柳枝词九首·其四,刘禹锡,咏物
金缕曲·疏影临书卷,纳兰性德,咏物
杖铭,刘向,咏物
咏百八塔,俞益谟,咏物
山园屡种杨梅皆不成枇杷,陆游,咏物
赋得蝉,褚沄,咏物
题张十一旅舍三咏·井,韩愈,咏物
贺新郎·云卧衣裳冷,辛弃疾,咏物
巨鱼纵大壑,钱起,咏物
感遇诗三十八首·其十二,陈子昂,咏物
鸣雁行,鲍溶,咏物
咏槐,冯清,咏物
一鹭图,刘珝,咏物
咏弓,章孝标,咏物
杂诗七首·其二,曹植,咏物
羊,李峤,咏物
客中闻雁,黄仲则,咏物
有木诗八首·其八,白居易,咏物
咏柳,杨慎,咏物
枸杞,苏轼,咏物
杖铭,刘向,咏物
汴京纪事二十首·其十六,刘子翚,咏物
惜分飞·柳絮,刘学箕,咏物
有木诗八首·其八,白居易,咏物
旅次寄湖南张郎中,戴叔伦,咏物
次韵昌叔咏尘,王安石,咏物
双燕,范成大,咏物
竹轩记,张九成,咏物
水仙子·咏竹,马谦斋,咏物
红梅,谢宗可,咏物
